denkmalnummern,hauptstruktur,periode,gemeinde,gemeinde_wkt,landkreis,regierungsbezirk,bibliographie,befund_e1,befund_e2,befunde_e3,lng_gk,lat_gk,lng_wgs84,lat_wgs84,DenkmalNummer,fender_typ,fender_zeitstellung,Höhe_SRTM1_puffer50m,Neigung_SRTM1_puffer50m,Hangausrichtung_SRTM1_puffer50m,Loess_1zu500k_puffer50m,Wasser_puffer50m,Umfeldanalyse_km2,Viewshed_km2,CorineCode,Reliefenergie,Frosttage_Jahr,Niederschlag_Jahr,Niederschlag_Sommer,Niederschlag_Frühling,Sonnenstunden_Jahr,Sonnenstunden_Frühling,Sonnenstunden_Sommer,Temperatur_Jahr,Temperatur_Sommer,Temperatur_Frühling
D-6-6121-0027,Grab,HAD,Erlenbach a.Main,POINT(9.17638 49.80703),Miltenberg,Unterfranken,"FIS-Daten des BLfD, Fender 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D-6-6121-0026,Grab,HA,Erlenbach a.Main,POINT(9.17638 49.80703),Miltenberg,Unterfranken,"FIS-Daten des BLfD, Fender 2017",,,,4299006,5522898,9.205964654808186000,49.808925724505379000,D-6-6121-0026,"Bestattung, Hügelgrab",Hallstattzeit,"297,08","1,32","270,86","1684,24","1701,15","36,01","2,76",242,47,84,840,223,208,1619,493,655,"9,0","17,2","8,8"
D-6-6120-0036,Grab,LTD1,Erlenbach a.Main,POINT(9.17638 49.80703),Miltenberg,Unterfranken,"FIS-Daten des BLfD, Fender 2017",,,,4295293,5523797,9.153970108841239000,49.815744184142112000,D-6-6120-0036,Bestattung,jüngere Latènezeit,"125,46","4,94","94,07","191,50","1189,06","42,06","23,85",131,27,67,749,204,191,1614,499,666,"10,2","18,5","10,1"
D-6-6120-0036,Grab,HAD,Erlenbach a.Main,POINT(9.17638 49.80703),Miltenberg,Unterfranken,"FIS-Daten des BLfD, Fender 2017",,,,4295293,5523797,9.153970108841239000,49.815744184142112000,D-6-6120-0036,Bestattung,jüngere Latènezeit,"125,46","4,94","94,07","191,50","1189,06","42,06","23,85",131,27,67,749,204,191,1614,499,666,"10,2","18,5","10,1"
D-6-6121-0031,Grab,HA,Erlenbach a.Main,POINT(9.17638 49.80703),Miltenberg,Unterfranken,"FIS-Daten des BLfD, Fender 2017",,,,4299065,5521949,9.207273934618820000,49.800423388659141000,D-6-6121-0031,"Bestattung, Hügelgrab",Hallstattzeit,"333,46","4,63","158,41","750,11","1609,94","36,22","99,19",312,48,81,811,215,204,1616,493,657,"9,2","17,5","9,1"
D-6-6121-0029,Grab,HA,Erlenbach a.Main,POINT(9.17638 49.80703),Miltenberg,Unterfranken,"FIS-Daten des BLfD, Fender 2017",,,,4300191,5522722,9.222498748796143000,49.807740686808295000,D-6-6121-0029,"Bestattung, Hügelgrab",Hallstattzeit,"281,75","6,96","158,13","1364,16","1198,82","38,59","17,58",313,49,83,806,216,202,1608,492,655,"9,2","17,4","9,0"
D-6-6121-0032,Grab,HAC,Eschau,POINT(9.28905 49.83049),Miltenberg,Unterfranken,"FIS-Daten des BLfD, Fender 2017",,,,4302841,5522022,9.259626557140299000,49.802330272896171000,D-6-6121-0032,"Bestattung, Hügelgrab",Frühlatènezeit,"230,92","5,12","267,99","0,00","506,10","37,29","10,14",243,20,80,745,202,189,1601,492,655,"9,4","17,6","9,2"
D-6-6121-0032,Grab,LTA,Eschau,POINT(9.28905 49.83049),Miltenberg,Unterfranken,"FIS-Daten des BLfD, Fender 2017",,,,4302841,5522022,9.259626557140299000,49.802330272896171000,D-6-6121-0032,"Bestattung, Hügelgrab",Frühlatènezeit,"230,92","5,12","267,99","0,00","506,10","37,29","10,14",243,20,80,745,202,189,1601,492,655,"9,4","17,6","9,2"
D-6-6121-0064,Grab,HA,Ingolstadt,POINT(11.39495 48.75512),Miltenberg,Oberbayern,"FIS-Daten des BLfD, Fender 2017",,,,4298171,5524885,9.193345559501708000,49.826488805561461000,D-6-6121-0064,"Bestattung, Hügelgrab",Hallstattzeit,"217,18","4,50","302,85","2578,62","622,79","36,16","79,17",312,59,76,785,212,197,1615,496,660,"9,6","17,8","9,5"
D-6-6221-0022,Grab,LTA,Großheubach,POINT(9.23385 49.73544),Miltenberg,Unterfranken,"FIS-Daten des BLfD, Fender 2017",,,,4299990,5513553,9.224417624511709000,49.725333966563866000,D-6-6221-0022,Bestattung,Frühlatènezeit,"135,77","2,15","240,66","1376,30","103,25","34,42","13,06",112,37,68,726,191,185,1604,494,665,"10,0","18,3","9,8"
